name,category,title,html_file,logo,logo_exists,screenshot_exists,screenshot_path,noindex,canonical,bytes
autogen,agents,AutoGen Review 2026: Microsoft's Multi-Agent Framework Tested | TechVernia,pages/reviews/agents/autogen.html,assets/images/logos/autogen.png,True,False,,False,https://techvernia.com/pages/reviews/agents/autogen.html,19927
copilot-studio,agents,Microsoft Copilot Studio Review 2026: Best No-Code AI Agent Builder? | TechVernia,pages/reviews/agents/copilot-studio.html,assets/images/logos/copilot-studio.png,True,False,,False,https://techvernia.com/pages/reviews/agents/copilot-studio.html,18381
crewai,agents,CrewAI Review 2026: Best Multi-Agent Framework? Honest Analysis | TechVernia,pages/reviews/agents/crewai.html,assets/images/logos/crewai.png,True,False,,False,https://techvernia.com/pages/reviews/agents/crewai.html,21051
dify,agents,Dify Review 2026: Best Open-Source LLM App Platform? | TechVernia,pages/reviews/agents/dify.html,assets/images/logos/dify.png,True,False,,False,https://techvernia.com/pages/reviews/agents/dify.html,17888
flowise,agents,Flowise Review 2026: Best Low-Code LangChain UI? | TechVernia,pages/reviews/agents/flowise.html,assets/images/logos/flowise.png,True,False,,False,https://techvernia.com/pages/reviews/agents/flowise.html,17719
gumloop,agents,Gumloop Review 2026: AI-Native Automation Worth the Price? | TechVernia,pages/reviews/agents/gumloop.html,assets/images/logos/gumloop.png,True,False,,False,https://techvernia.com/pages/reviews/agents/gumloop.html,17786
langchain,agents,LangChain Review 2026: Still the Best LLM Framework? | TechVernia,pages/reviews/agents/langchain.html,assets/images/logos/langchain.png,True,False,,False,https://techvernia.com/pages/reviews/agents/langchain.html,19359
llamaindex,agents,LlamaIndex Review 2026: Best RAG Framework for LLM Apps? | TechVernia,pages/reviews/agents/llamaindex.html,assets/images/logos/llamaindex.png,True,False,,False,https://techvernia.com/pages/reviews/agents/llamaindex.html,18161
make,agents,Make Review 2026: Is It Better Than Zapier? Honest Analysis | TechVernia,pages/reviews/agents/make.html,assets/images/logos/make.png,True,False,,False,https://techvernia.com/pages/reviews/agents/make.html,18498
n8n,agents,n8n Review 2026: The Best Open-Source Workflow Automation Tool? | TechVernia,pages/reviews/agents/n8n.html,assets/images/logos/n8n.png,True,False,,False,https://techvernia.com/pages/reviews/agents/n8n.html,18465
nemo-guardrails,agents,NeMo Guardrails Review 2026: NVIDIA's LLM Safety Toolkit | TechVernia,pages/reviews/agents/nemo-guardrails.html,assets/images/logos/nemo-guardrails.png,True,False,,False,https://techvernia.com/pages/reviews/agents/nemo-guardrails.html,18192
openbox,agents,OpenBox Review 2026: Open AI Agent Orchestration Platform | TechVernia,pages/reviews/agents/openbox.html,assets/images/logos/openbox.png,True,False,,False,https://techvernia.com/pages/reviews/agents/openbox.html,18005
uipath,agents,UiPath Review 2026: Best Enterprise RPA + AI Platform? | TechVernia,pages/reviews/agents/uipath.html,assets/images/logos/uipath.png,True,False,,False,https://techvernia.com/pages/reviews/agents/uipath.html,18768
glm-4-7,ai-coding,GLM-4.7 Review 2026 - AI Coding Assistant | TechVernia,pages/reviews/ai-coding/glm-4-7.html,assets/images/logos/glm-4-7.png,True,False,,False,https://techvernia.com/pages/reviews/ai-coding/glm-4-7.html,40512
alteryx-ai,analytics,Alteryx AI Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/alteryx-ai.html,assets/images/logos/alteryx-ai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/alteryx-ai.html,35182
amazon-quicksight-q,analytics,Amazon QuickSight Q Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/amazon-quicksight-q.html,assets/images/logos/amazon-quicksight-q.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/amazon-quicksight-q.html,35994
blazesql,analytics,BlazeSQL Review 2026: Natural Language to SQL AI Tool | TechVernia,pages/reviews/analytics/blazesql.html,assets/images/logos/blazesql.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/blazesql.html,35471
databricks,analytics,Databricks AI/BI Review 2026: Enterprise AI-Native Business Intelligence | TechVernia,pages/reviews/analytics/databricks.html,assets/images/logos/databricks.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/databricks.html,36523
datarobot,analytics,DataRobot Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/datarobot.html,assets/images/logos/datarobot.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/datarobot.html,35123
domo-ai,analytics,Domo AI Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/domo-ai.html,assets/images/logos/domo-ai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/domo-ai.html,34777
h2oai,analytics,H2O.ai Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/h2oai.html,assets/images/logos/h2oai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/h2oai.html,34601
looker-ai,analytics,Looker AI Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/looker-ai.html,assets/images/logos/looker-ai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/looker-ai.html,34822
microstrategy-ai,analytics,MicroStrategy AI Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/microstrategy-ai.html,assets/images/logos/microstrategy-ai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/microstrategy-ai.html,35995
mode-analytics,analytics,Mode Analytics Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/mode-analytics.html,assets/images/logos/mode-analytics.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/mode-analytics.html,35696
power-bi-copilot,analytics,Power BI Copilot Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/power-bi-copilot.html,assets/images/logos/power-bi-copilot.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/power-bi-copilot.html,35854
prophet-meta,analytics,Prophet (Meta) Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/prophet-meta.html,assets/images/logos/prophet-meta.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/prophet-meta.html,35265
qlik-sense-ai,analytics,Qlik Sense AI Review 2026 - AI Analytics | TechVernia,pages/reviews/analytics/qlik-sense-ai.html,assets/images/logos/qlik-sense-ai.png,True,False,,False,https://techvernia.com/pages/reviews/analytics/qlik-sense-ai.html,35431
